Verb,Meaning,URL
исправить,"to correct, fix, ammend",ispravlyat_ispravit.htm
исправлять,"to correct, fix, ammend",ispravlyat_ispravit.htm
испугаться,to be frightened,pugatsa_ispugatsa.htm
испытать,"to try, test",ispitivat_ispitat.htm
испытывать,"to try, test",ispitivat_ispitat.htm
исчезать,"to disappear, vanish",ischezat_ischeznut.htm
исчезнуть,"to disappear, vanish",ischezat_ischeznut.htm
казаться,"to seem, appear",kazatsa_pokazatsa.htm
касаться,"to touch, concern",kasatsa_kosnutsa.htm
катать,"to ride, take for a drive; to roll",katat_pokatat.htm
качать,"to swing, rock, sway, shake",kachat_kachnut.htm
качнуть,"to swing, rock, sway, shake",kachat_kachnut.htm
кашлянуть,to cough,kashlyat_kashlyanut.htm
кашлять,to cough,kashlyat_kashlyanut.htm
кивать,to nod,kivat_kivnut.htm
кивнуть,to nod,kivat_kivnut.htm
кидать,"to throw, cast, fling, toss",kidat_kinut.htm
кинуть,"to throw, cast, fling, toss",kidat_kinut.htm
класть,"to place, put down",klast_polozhit.htm
кончать,"to end, finish",konchat_konchit.htm
кончаться,"to end, finish",konchatsa_konchitsa.htm
кончить,"to end, finish",konchat_konchit.htm
кончиться,"to end, finish",konchatsa_konchitsa.htm
копить,"to accumulate, save up",kopit_nakopit.htm
кормить,to feed,kormit_nakormit.htm
коснуться,"to touch, concern",kasatsa_kosnutsa.htm
краснеть,"to redden, blush, flush up",krasnet_pokrasnet.htm
красть,to steal,krast_ukrast.htm
крикнуть,"to cry, shout",krichat_kriknut.htm
кричать,"to cry, shout",krichat_kriknut.htm
кричать,"to cry, shout",krichat_pokrichat.htm
кричать,"to cry, shout",krichat_zakrichat.htm
крыть,to cover,krit_pokrit.htm
купить,"to buy, purchase",pokupat_kupit.htm
курить,to smoke,kurit_zakurit.htm
кушать,to eat,kushat_skushat.htm
лазить,to climb,lazit_polezt.htm
лежать,"to lie, be situated",lezhat_lech.htm
лезть,"to get in, to push",lezt_polezt.htm
летать,"to fly, flutter",letat_poletet.htm
лечь,"to lie, be situated",lezhat_lech.htm
лечь,"to lie, lie down",lozhitsa_lech.htm
лишать,to deprive,lishat_lishit.htm
лишить,to deprive,lishat_lishit.htm
ловить,"to catch, to betray",lovit_poymat.htm
ложиться,"to lie, lie down",lozhitsa_lech.htm
любить,to love,lubit_polubit.htm
махать,to wave,makhat_makhnut.htm
махнуть,to wave,makhat_makhnut.htm
менять,"to change, exchange",menyat_pomenyat.htm
меняться,to change,menyatsa_pomenyatsa.htm
мёрзнуть,"to freeze, to feel cold",myorznut_zamyorznut.htm
мерить,"to measure, meter",merit_izmerit.htm
мечтать,"to dream, daydream",mechtat_pomechtat.htm
мешать,"to interfere, prevent",meshat_pomeshat.htm
молчать,to keep silence,molchat_pomolchat.htm
молчать,to keep silence,molchat_zamolchat.htm
мочь,"can, to be able to",moch_smoch.htm
мять,"to knead, rumple",myat_smyat.htm
мяукать,to meow,myaukat_myauknut.htm
мяукнуть,to meow,myaukat_myauknut.htm
набирать,"to gather, collect; to set up, compose; to gain",nabirat_nabrat.htm
наблюдать,"to observe, watch, take notice, supervise",nabludat_ponabludat.htm
набрать,"to gather, collect; to set up, compose; to gain",nabirat_nabrat.htm
навестить,to pay a visit; to call upon,naveschat_navestit.htm
навещать,to pay a visit; to call upon,naveschat_navestit.htm
надевать,to put on,nadevat_nadet.htm
надеть,to put on,nadevat_nadet.htm
надоедать,to bore; bother,nadoedat_nadoest.htm
надоесть,to bore; bother,nadoedat_nadoest.htm
назвать,"to call, name",nazivat_nazvat.htm
назначать,"to assign, allot",naznachat_naznachit.htm
назначить,"to assign, allot",naznachat_naznachit.htm
называть,"to call, name",nazivat_nazvat.htm
найти,"to find, discover",nakhodit_nayti.htm
найтись,"to be found, turn up",nakhoditsa_naytis.htm
накапливать,"to accumulate, save up, amass, pile",nakaplivat_nakopit.htm
накопить,"to accumulate, save up, amass, pile",nakaplivat_nakopit.htm
накопить,"to accumulate, save up",kopit_nakopit.htm
накормить,to feed,kormit_nakormit.htm
накрывать,to cover,nakrivat_nakrit.htm
накрыть,to cover,nakrivat_nakrit.htm
наливать,"to pour, pour in",nalivat_nalit.htm
налить,"to pour, pour in",nalivat_nalit.htm
намазать,to spread; to plaster; to anoint,namazivat_namazat.htm
намазывать,to spread; to plaster; to anoint,namazivat_namazat.htm
наметить,"to schedule, plan; to mark; to outline",namechat_nametit.htm
намечать,"to schedule, plan; to mark; to outline",namechat_nametit.htm
нанимать,"to hire, employ",nanimat_nanyat.htm
нанять,"to hire, employ",nanimat_nanyat.htm
нападать,to attack; to assault,napadat_napast.htm
напасть,to attack; to assault,napadat_napast.htm
напиваться,to get drunk; to quench thirst,napivatsa_napitsa.htm
написать,"to write, write down",pisat_napisat.htm
напиться,to get drunk; to quench thirst,napivatsa_napitsa.htm
наполнить,"to fill, fill up",napolnyat_napolnit.htm
наполнять,"to fill, fill up",napolnyat_napolnit.htm
напоминать,"to remind, resemble",napominat_napomnit.htm
напомнить,"to remind, resemble",napominat_napomnit.htm
направить,to direct; aim; send,napravlyat_napravit.htm
направлять,to direct; aim; send,napravlyat_napravit.htm
нареза́ть,"to cut, slice",narezat_narezat.htm
